[2016-05-27 16:13:57,457] INFO  main (AbstractTestContextBootstrapper.java:255) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[2016-05-27 16:13:57,520] INFO  main (AbstractTestContextBootstrapper.java:181) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5302f26d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@6679fcae, org.springframework.test.context.support.DirtiesContextTestExecutionListener@52bc3811, org.springframework.test.context.transaction.TransactionalTestExecutionListener@43050e86, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@fca1ca]
[2016-05-27 16:13:57,785] INFO  main (XmlBeanDefinitionReader.java:317) - Loading XML bean definitions from class path resource [spring/spring-context.xml]
[2016-05-27 16:13:58,711] INFO  main (XmlBeanDefinitionReader.java:317) - Loading XML bean definitions from class path resource [spring/spring-mvc.xml]
[2016-05-27 16:13:58,911] INFO  main (XmlBeanDefinitionReader.java:317) - Loading XML bean definitions from class path resource [spring/spring-database.xml]
[2016-05-27 16:13:58,932] INFO  main (XmlBeanDefinitionReader.java:317) - Loading XML bean definitions from class path resource [spring/spring-scheduler.xml]
[2016-05-27 16:13:58,952] INFO  main (XmlBeanDefinitionReader.java:317) - Loading XML bean definitions from class path resource [spring/redis-context.xml]
[2016-05-27 16:13:58,983] INFO  main (AbstractApplicationContext.java:510) - Refreshing org.springframework.context.support.GenericApplicationContext@2a99e698: startup date [Fri May 27 16:13:58 CST 2016]; root of context hierarchy
[2016-05-27 16:13:59,367] INFO  main (PropertiesLoaderSupport.java:172) - Loading properties file from class path resource [jdbc.properties]
[2016-05-27 16:13:59,368] INFO  main (PropertiesLoaderSupport.java:172) - Loading properties file from class path resource [config.properties]
[2016-05-27 16:14:01,535] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/dynamicComment/addComment.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.base.Result com.lami.tuomatuo.controller.app1.dynamic.UserDynamicCommentController.addComment(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.DynamicAddCommentParam)
[2016-05-27 16:14:01,537] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/dynamicComment/getComment.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.base.Result com.lami.tuomatuo.controller.app1.dynamic.UserDynamicCommentController.getDynamic(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.GetDynamicCommentParam)
